Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2024,15.7,25.7,29.1,43.5,55.6,63.5,70,67.3,65.8,49.3,33.6,M,M
2023,15.8,15.8,23.2,37.9,59.4,68.3,67,67.5,60.8*,47,31.1,29.1,43.6*
2022,2,3.5,23.9,33.4,53.6,63.5,67.5,66.7,59.3,46.5,29.4,12.8,38.5
2021,17,6.7,34.6,40.9,55.1,69.5,71.1,70.2,61.4,50.4,30.2,16.3,43.6
2020,13.4,12.8,30.4,38.8,53.2,65.7,71.3,68.2,55.1,37.5,33.4,18,41.5
2019,3.8,7.4,23.2,39.9,49.7,62.8,70.1,64.8,57.7,41.5,24.1,15.9,38.4
2018,8.8,8.9,27.6,33.8,59.8,64.8,69.5,66.7,56.5,38.7,21.6,18.6,39.6
2017,13.4,21.1,26.9,43,52.3,64,68.7,63.1,59.5,45.6,24.8,9.5,41
2016,11.5,17.4,34.2,40.8,55.3,62.8,68.8,67.7,59.3,47,38.4,13.7,43.1
2015,11.3,3.8,29.4,42.7,52.2,63.1,69.3,64.9,62.2,45.8,35.2,23.7,42
2014,-0.7,3.3,17.9,36.1,53.1,63.3,65.9,65.3,56.6,43.2,19.6,18.9,36.9
2013,9.8,13.1,22,34,52.1,61.7,67.5,67.2,59.3,43.1,25.6,1,38
2012,16.1,22.4,39.3,42.8,55.6,65.2,72.4,66,55.6,41.5,28.9,14.5,43.4
2011,4.8,13.6,25.4,40.8,52.7,61.4,71.3,67.3,55.3,48.2,31.3,21.1,41.1
2010,9.4,15.5,37.6,48.7,55.4,62,69.3,69,53,47.8,30.5,11.4,42.5
2009,2.6,15.4,26.1,42.4,51.4,61.3,62.6,63.1,62.6,38.7,36.9,11.7,39.6
2008,8.3,9.3,23.8,39.1,50.2,61.8,66.8,66.2*,57.1,45.3,29.7,4.5,38.5*
2007,13.8,8,31.3,40.9,57.6,66.8,69.8,65.7,57.0*,48.3,28.9*,12,41.7*
2006,24.5,12.4,31.5,49.0*,57,64.8,73.3,67.2,56,41.3,32,23.5,44.4*
2005,6.2,19.8,25.7,46.1,51.7,64.6*,69.5,65.7,59.9,45.9,30.9,18.9,42.1*
2004,2.8,19.1,29.9,41.3,48.9,60.2,66.2,60.2,61.4,45.4,32.5,13.3*,40.1*
2003,9.2,9.6,25.4,42.2,54.2,63.5,69.1,71,57.2,45.2,25.9,20.6,41.1
2002,16.7,23.3,19.4,39,49.3,67,71.4,66.6,59.5,35.3*,25.8,20.6,41.2*
2001,17.5,7.1,26.1,43.1,55.6,64.9,69.3,68.8,56.6,43.2,39,21.2,42.7
2000,9.3,23.1,35,41.2,55.5,59.5,68.5,66.2,54.1,46.3,28.6,2.2,40.8
1999,9.7*,22.7,31.1,44.8,56.3,64.2,70.6,65.9,55.4,43.5,36,20.1,43.4*
1998,15.6,30,28.6,46.5,60,61.9,67.6,68.5,60.8,47.5,30.9,17.6,44.6
1997,4.9*,15,25.3,39.4,49,66.6,67.1,63.7,59.3,45.7*,25.7,23.3,40.4*
1996,-3.1*,9.3,17.5,35,51.5,63.0*,65.5,67.6,56.9,43.2*,19.9*,9,36.3*
1995,10.4,9.5*,28.4,35.8,53.4*,69.1,66.6,68.7,55.3,42.8,18.8,9.6,39.0*
1994,-4.3,5.3*,29.7*,40.6,55.8,64.2,65.8,63.2,58.1,47.2*,33,20.6,39.9*
1993,7,12.9,27.2,39.3,52.4,59.9,65.8,66.7*,50,40.4*,23.4,14.0*,38.2*
1992,14.4,20.4,27.8,37.3,56.1,60,60.5,61.7,53.5,42.6,26.5,12.2,39.4
1991,3.9,17.9,27.1,45.1,58.3,66.5,67.1,69,54.1,40.3,21.8,14.7,40.5
1990,17.3,11.2,27,40.9,50.8,63.9,66.8,66.1,56.9,41.3,30.4,10.2,40.2
1989,11.2,1,18.9,37.2,53.5,61.4*,70.3,65.6*,55.1,44.7,23.2,2.4,37.0*
1988,2.4,4.5,25,40.4*,59.8*,67.5,71.3,66.7,56.5,39.1*,28.9,11.5*,39.4*
1987,13.7,25.6*,31.8,48.9,55.8,66.3,69.7,64.1,56.8,40,32.5,20.3*,43.8*
1986,10.2,10.7*,27.7,45,54.6,62.2,68.2*,61.0*,53.7,44.1,22.5*,17.1*,39.7*
1985,5.2*,7.4,31.2,44.1,57,57.6,66.8*,61.8*,53.8,42.4*,18.4*,1.9*,37.3*
1984,5.7*,23.1*,20.2,44.5,50.8,63.8,67.8,69.6,51,47.0*,26.6*,9.9,40.0*
1983,12.4,18.9,29.4,39,49.7,62.5,71.1,70,56.3,43.9,29.9*,-1.5,40.1*
1982,-4,11.5,23.3,38.6,58.0*,58.5,68.9,64.6,56.4,46.9,26.1,20.6,39.1*
1981,12.6,20.2,33.5,43.9,54.8,62,68,67,55.8,43.5,36,14.1,42.6
1980,7.8,11.7*,21.2,46.1,59.9,63.6,69.6,66.4,54.6,41.3,31.3,11.8,40.4*
1979,-2,5.8,25.1,37.1,49.5,61.4,68.1,62.6,57.8,42.8,27.9,21,38.1
1978,3.1,8.1,25.6,41.3,57.8,62.8,66.4,66,59.8,46,25.6,7.6,39.2
1977,-1.8,17.1,33.8,48.1,63.8,64,69.1,60.2,55.3,45.9,27.6,10.3,41.1
1976,5.7,22,24.1,47,54.4,66.1,68.1,67.4,57,39,22.6,4.1,39.8
1975,10.7,13.9,19.9,34.7,57,62.1,71.5,65.2,53.4,47.9,30.8,11.7,39.9
1974,6.1,12.4*,22.2,41.6,49.3,62.7,70.7,62.8,51.8,46,30.4,20.3,39.7*
1973,11.8,15.1,35.6,41,52.7,63.5,66.7,67.5,54.5,49.2,28.4,12.6,41.6
1972,0.1,6.3,22,37.4,58.6,63.3,65,64.6,52.3,41,26,6,36.9
1971,-0.6,13.4,24.1,41.5,51.3,66.3,63.5,63.5,57,48.7,28,13.4,39.2
1970,3,11.4,19.3,39,51,65.5,70.1,66.9,57.8,45.6,27.1,9.7,38.9
1969,5,14.8,22.3,43.6,53.5,55.9,66.6,69.1,56.9,40.1,28.6,17.7,39.5
1968,7.8,9.6,32.7,42.6,50.9,61.1,65.7,64.3,56.6,47.1,29.3,10.9,39.9
1967,9.1,4.1,25,39.2,47.4,61.6,65.4,62.9,57.2,42.8,26.8,15.2,38.1
1966,-4.3,10.3,29.6,36.6,49.8,63.1,70.2,63,55,43.9,24.7,12.8,37.9
1965,3.7,6.3,15.4,40,54.5,61.2,64.7,63.3,48.1,45.9,27.5,21.8,37.7
1964,15.8,16.3,21.5,41.8,57.4,61.4,68.3,61,53.7,44.8,30.5,7.7,40
1963,0.5,7.8,29.7,43.1,51.2,64.6,68.8,64.5,58.4,55.4,34.2,7.6,40.5
1962,3.4,9.7,27.3,38,55.1,61.2,63.3,64.8,54,47.9,33.6,15.2,39.5
1961,7,21.7,33.3,35.5,51.3,64.5,66.5,67.9,56.2,46.6,28.8,13.2,41
1960,9.7,13.4,17.4,40.2,52.8,59.9,66.3,67.2,56.6,45.6,31.1,11.6,39.3
1959,1.9*,10.2,26.7,41,54.6,63.5,67.2,67.8,56,40.5,18.6*,23.2,39.3*
1958,16,11.3,29.2,43.6,53.5,55.9,64.3,64,56.3,46.5,29.8,5.8,39.7
1957,0.9,12.1,23.2,40.2,53,60.7,70,64.1,53.5,44.3,29.4,17.6,39.1
1956,11,9.2,20.2,35.7,50.5,64.6,62.3,62.7,52.1*,51.2,30.8,15.3,38.8*
1955,8.7,9,16.6,47.6,56.9,63.1,71,68.5*,54.5,45.5,20.3,6.1*,39.0*
1954,1.6,25.1,21.2,38.3,47.7,63.2,66.8,63.7,54.9,43.3,33.4,19.7,39.9
1953,10.5,12.9,26.5,37.5,51.2,63.1,65.3,66.6,54.9*,50.9,34,14.3,40.6*
1952,6.8,20.5*,22.2,45.6,53.2,65.1,67,62.7*,56.8,39.8,30.8,20.2,40.9*
1951,4.6,12.4,19.5,37.9,57.2,59.5,66.2*,61.3*,52.3,43,21.9,9.9,37.1*
1950,-1.2,11.6,18.3,30.8,49.6,61.1,64.7,60.5,57.0*,46.3*,23.4,7,35.8*
1949,10.5,6.7,21.6,43.8,54.2,64.5,67.4,68.5*,53.5,45.6,31.8,11.7,40.0*
1948,3.7,8.4,24.4*,43.7,53,61.2,67.9,66.3,61.5,46.2,29.5,13,39.9*
1947,12.4,7.7,21,36.3,47.6,58.9,68.2,70.4,54.7,53.0*,22.7,12.4,38.8*
1946,8.5,8.1,35.6,43.6,50,60.9,66.6,62.1*,54.2,43.3,27.1,11.6,39.3*
1945,7.1,11.5,32.4*,36.5,45.1*,56.3,64.4,64.4,53.5,42.2,25.2,9.2,37.3*
1944,19.1,10.9,20.5,37.5,54.6,62.6,66,65,54.7,45.2*,32.4,13,40.1*
1943,1.3,12,15.9,38.9,50,62.8,69.3,64.6*,52.6,44.8*,23.4,15.8,37.6*
1942,14.9,12.4,30,47.2,50,60.2*,64.2,64.6*,52,44,25.5,8.1*,39.4*
1941,10,11.1,21.7*,47.4,57.7,63.8*,69.1,63.7*,57.3,45.4,30,19.2,41.4*
1940,3.6*,15,18,37.6*,51.4*,60,67.4,63.2,59.1,47.2,22.9,15.8,38.4*
1939,11.1,1.7*,20.3,37,56,62.4,68.3*,66.1,56.8,42.1,32.6,23.8,39.9*
1938,5.8,15.9,33.3,21.6*,50.7,62.0*,66.6,69,55.7,48.6,25.3*,13.1,39.0*
1937,-2.5,8.1,19.4,37.0*,54.6,61.3,68.3*,70.2,56,39.9*,26.6*,10.5,37.4*
1936,-2.4,-6.2,23.4,33.2,56.9*,60.1,72.5,66.3,58,38.4,22.3,14,36.4*
1935,1.7,19.1,24.4,36.7,49.1,58,71.5,64.9,53.3,43.1*,20.1*,12.8*,37.9*
1934,13.3,9,19.6,39.5,59.2*,63.1,66.4,62.1,53,47.5*,33.4,7.7,39.5*
1933,13.7,4.4,22.4,38.9*,54.1,68.5,69.2*,63.6*,60.2,39,21.9*,6.2,38.5*
1932,13.9,11.9,15.9,40.7,54.1,65.7,67.3*,65.5,54.8,40.6,23.9*,10.3,38.7*
1931,16.4,23.4*,25.6*,42.8,51.5,65.4,68.2,63.5,61.2,50.1,34.5,24.1*,43.9*
1930,-1.8*,18.2*,24.3*,40.8*,52.5,62.2*,67.8,67.4,55.3,42.3,29.1*,17.2*,39.6*
1929,-6.5,4.4,27.6,40.5,47.9,59.4,67.1,63.6,53.3,44.3,23.5,10.7,36.3
1928,7.4,12.6,22.8,34.4*,55.6,58.3,66.7,64.3,52.7*,44.4,32.0*,20,39.3*
1927,6,14.9,29.5,41.4,49.2,61.6,65.2*,60.8*,58.3*,46.2,21.7*,1.4*,38.0*
1926,10.5*,17.2,21,39.9,56.8,59,68.1,65.6,51.6*,41.4*,20.6,7.7,38.3*
1925,6.6,14.3,29.4,47.1,51.9,62,66.1,68.2,57.4,33.5,28.3,11.2,39.7
1924,-0.2,17.5,26.3,37.5*,44.3,58.9,64.7,61.8,52.4,49.5,25.8,1.8,36.7*
1923,9.7,4.7,14.9,39,53.8,67.2,70.6,61.1,56.1,42.8,34.8,22.2,39.7
1922,6.7,5.5,28.1,40.7,59.5,64.8,66,67.4*,58.6,46.5*,33.9,9.7,40.6*
1921,14.5*,18.5*,25.6,44.4,55.4,67.4,73.3,65.8,58.3,46.2,21.3,12.9,42.0*
1920,-0.1*,10.2,25,30.5,53.1,62.7,64.7,64.2,59.8,49.3,26.1,16.9,38.5*
1919,14.2,10.4,22.4*,39.9,53.5,67.1,67,63.5,56.5,38.9,19.2,2.7,37.9*
1918,-4.3*,6.5,29.4,35.1,48.9,60.7,65.3,63.9,47.0*,42.7,31.3,20,37.2*
1917,-3.1,-3.8,21.1,37.1,49.8,58.8*,69.5,61.6,53.7,31.9*,31.9,-0.0*,34.0*
1916,-3.7*,3.3,17.4,38.1,49.8*,58.6,73,65.9,53.5,40.7,26.6,2.4,35.5*
1915,M,M,M,M,M,56.1*,62.0*,61.6,55.1*,43.7,27,16.4*,M
