Year,Jan,Feb,Mar,Apr,May ,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2024,22.1,33.3,37.4,49.3,62.4,69.5,74.1,71.5,70.4,57.4,45.0*,M,M
2023,20.2,21.1,29.1,45.8,64.2,75,74.5,74.7,69.1,51.9,38.5,34.3,49.9
2022,10.7,14.5,31.8,41,61,73,76.3,72.5,66,51.8,35,17.9,46
2021,22.1,11.7,40.5,47.6,60.2,76.8,76,74,66.5,55.6,37,24.5,49.4
2020,20.6,21.1,37.7,45.1,58.7,72.8,76,73.1,61.3,43.6,38.6,25.3,47.8
2019,14.3,12.8,28.5,46.2,55.6,69.8,75.3,71,66.7,46.1,30.8,23.2,45
2018,16.6,15.9,32.4,37.6,67.8,72.7,75,73.9,65.1,45.8,28.2,25.8,46.4
2017,20.9,31.2,34,50.5,58.5,71.3,75.3,68.7,67.3,51.3,34.1,18.9,48.5
2016,17.6,24.9,41.3,48,61.3,71.3,75.2,73.3,66.1,52.9,44.1,20.9,49.7
2015,19,11.2,35.5,49.7,59.2,69.7,73.3,70.7,67.9,52.1,41.4,30.2,48.3
2014,8,8.6,25.5,42.7,58.6,69.5,71.5,73.3,62.7,49.2,25.4,24.3,43.3
2013,16.9,19,27.2,41,58.3,68.9,75,74.7,67.2,49.1,33.2,12.4,45.2
2012,23.3,27.7,48.3,50,63.7,72.3,80.2,72,63.9,47.5,37.1,23.4,50.8
2011,12,18.7,29.4,46.2,58.4,69.5,78.8,73.6,62.9,55.3,39.2,27.8,47.7
2010,13.1,19.7,41,54.9,60.7,69.3,76.3,77,60.2,54,35.3,16.4,48.2
2009,8.3,20.8,32.2,47.6,60.8,67.7,70,69.4,66.5,43.2,42.7,17.3,45.5
2008,13.2,15.2,28.3,44,56.3,68.7,75.5,72.4,63.6,50.4,34.6,13.5,44.7
2007,19.6,13.5,38.4,47.2,64.1,72.7,76,72.1,64.8,54.3,34.5,16.6,47.8
2006,28.6,20,33.6,53.5,61.9,71,79.6,72.1,59.6,45.9,36.8,29.1,49.3
2005,15.6,26.4,31.8,51.9,56.4,73.4,76.8,71.7,66.3,52.3,36.6,19.4,48.2
2004,11.2,21.6,36,49.9,56.6,65.5,72.2,66.3,67.4,50.1,37.7,22.6,46.4
2003,15.3,15.7,31.3,48.3,57.7,68.1,73.7,75.3,62.5,51,32.1,24.9,46.3
2002,24.6,28.3,24.9,45.7,54.6,71.1,77,70.9,65.5,41.8,33,26.2,47
2001,20,11.8,27.4,48.4,59.6,69.1,75.9,74.1,60.9,48.6,46.3,27.6,47.5
2000,15.9,27.8,41.1,46.7,60.9,66.1,72.4,72.1,61.6,53.2,31.2,7.6,46.4
1999,12.3,27.9,33.8,49,60.1,67.2,76.2,70,61.1,49.6,41.8,25.6,47.9
1998,19.1,31.9,31.9,50.6,63.4,64.9,72.5,71.5,66.6,51.1,37.1,24.6,48.8
1997,10.3,19.9,29.3,43,53.4,70,71,68.8,62.4,50.2,28.1,26.9,44.4
1996,10.2,17.9,25.3,41.4,55.6,67.4,70,70.5,62.1,48.8,25.4,13.7,42.4
1995,18.4,19.3,35,42.2,56.9,71.2,73.1,74.7,60.1,48.6,27.4,19.1,45.5
1994,4.3,13.2,34.7,45.9,60.7,69.8,70.1,67.3,64.3,52.2,38,24.5,45.4
1993,14.6,17.2,29.4,44.2,57.2,64.5,70.3,70.4,55,46.5,30.6,22.1,43.5
1992,21.9,28,33.1,43.6,60.5,65.6,65.8,65.9,59.6,47.4,31.3,21.2,45.3
1991,12.4,24.4,34.3,49.1,61.9,72.8,72.2,71.1,58.9,47.1,24.5,21.1,45.8
1990,26.2,23.7,35.7,46.8,56.3,69.5,71.3,70.6,64.4,48.1,37.4,16.9,47.2
1989,21.2,8.6,26.6,45.3,57.5,68.3,76.4,70.8,60.9,49.9,28,10.6,43.7
1988,10.4,13.8,33.7,47.4,65.4,74.4,78,73.9,62.4,44,32.7,20.5,46.4
1987,21.2,31.6,38.6,53.5,63.4,72.8,76,69,62.4,44.5,37.9,24.9,49.7
1986,17.5,15.6,33.9,49.6,59.4,68.6,73.9,67,59.8,49.2,28.2,24.7,45.6
1985,10.1,16.4,35.6,52,62.2,63.9,73.9,67.6,59.9,47.5,24.8,7.7,43.5
1984,11.9,27.4,24.8,47.1,56,69.7,72.2,73.4,57.2,50.7,33.3,17.9,45.1
1983,19.6,26.9,34.2,42.2,54.6,68,77.2,76.7,62.6,48.4,34,3.7,45.7
1982,2.3,15.8,29,43.8,62.4,63.7,75.6,71.7,60.9,50.3,31.5,25.6,44.4
1981,18,23.3,37.7,49,57,67,70.8,69.3,60,46.6,38,17.5,46.2
1980,15.3,15.3,27.2,49.2,61.5,67.6,75.2,70.7,59.5,45.1,36.6,19.8,45.2
1979,3.2,10,28.8,44,55.5,67.3,73.6,69.8,63.4,46.6,31.7,25.9,43.3
1978,5.5,11.6,29.9,45.2,61.8,67.8,71.1,72.2,67.3,49.8,32.5,15.2,44.1
1977,0.3,22.7,37.5,53,66.9,68.4,74.8,66.1,60.5,47.1,30.8,14.4,45.2
1976,11.6,27.7,31.4,51.8,58.9,71.7,76.1,73.3,61.8,44.6,28.3,13.5,45.9
1975,14.4,15.5,22.1,38.9,60.9,68.8,76.3,71.7,57.7,52.8,37.4,21.3,44.8
1974,11.9,16.8,29.5,47.1,54.4,65.5,76.6,67.3,55.3,49.7,33.7,24.4,44.4
1973,17.3,21.6,40.2,44.4,55.2,69.5,73.8,73.4,60.1,53.8,34.3,16.7,46.7
1972,5.5,10.4,26.4,41.9,61.2,66,68.5,69.8,57.9,43.7,32.2,11.2,41.2
1971,6.5,17,28,47,55.4,71.5,68.8,69.5,62.8,51.4,32.7,18.4,44.1
1970,5.5,15.3,26,46.1,58.4,71.2,75.2,71.9,61.2,49.6,32.7,18.2,44.3
1969,9.3,19.3,24.1,49.3,60.6,61.8,73.5,74.4,63,46.4,33.6,20.3,44.6
1968,14.3,15.2,38.8,48.5,53.4,67.2,71.1,70.7,61,50.7,34,16.9,45.1
1967,14.6,8.7,29.8,44.7,52.2,66.8,68.7,66.2,60.3,46.3,30.7,21.7,42.6
1966,3.3,16.3,35.8,42.2,53.6,68.4,76.7,68.2,60.3,47.5,30,18.1,43.4
